batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",159,3,19.0,61.0,0.0,8.368421052631579,1.0,7,0,17
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,15,0,1.0,15.0,0.0,15.0,19.0,10,1,163
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,21,0,2.0,21.0,0.0,10.5,18.0,10,1,157
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,30,0,3.0,30.0,0.0,10.0,17.0,10,1,148
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,35,0,4.0,35.0,0.0,8.75,16.0,10,1,143
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,46,0,5.0,46.0,0.0,9.2,15.0,10,1,132
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,62,0,6.0,47.0,0.0,10.333333333333334,14.0,10,1,116
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,76,0,7.0,55.0,0.0,10.857142857142858,13.0,10,0,102
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,86,0,8.0,56.0,0.0,10.75,12.0,10,0,92
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,94,1,9.0,59.0,1.0,10.444444444444445,11.0,9,0,84
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,103,1,10.0,57.0,1.0,10.3,10.0,9,0,75
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,109,1,11.0,47.0,1.0,9.909090909090908,9.0,9,0,69
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,118,1,12.0,42.0,1.0,9.833333333333334,8.0,9,0,60
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,122,1,13.0,36.0,1.0,9.384615384615385,7.0,9,0,56
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,124,2,14.0,30.0,1.0,8.857142857142858,6.0,8,0,54
